clf,mean_test_score,std_test_score,clf__eta,clf__max_depth,clf__n_estimators
XGBClassifier,0.5485242146762707,0.060691836429243355,0.001,3.0,50
XGBClassifier,0.5559443569336006,0.06432176301033618,0.001,3.0,100
XGBClassifier,0.5706497889396859,0.0599182408753504,0.001,3.0,200
XGBClassifier,0.581184676635357,0.059728349495943356,0.001,3.0,500
XGBClassifier,0.5891169923090913,0.06650140989394501,0.001,3.0,1000
XGBClassifier,0.5631039390648792,0.05532178157291102,0.001,4.0,50
XGBClassifier,0.5681193653580042,0.056500778732544735,0.001,4.0,100
XGBClassifier,0.5790717826204703,0.054911924762889974,0.001,4.0,200
XGBClassifier,0.5866939241347826,0.05701910600790089,0.001,4.0,500
XGBClassifier,0.592387628350171,0.05845487173068851,0.001,4.0,1000
XGBClassifier,0.5677670181835985,0.06053415001981247,0.001,5.0,50
XGBClassifier,0.5682932202407649,0.06162668112317402,0.001,5.0,100
XGBClassifier,0.5750979327478973,0.06081151784402637,0.001,5.0,200
XGBClassifier,0.5938499756088043,0.059360169166061766,0.001,5.0,500
XGBClassifier,0.599030553695496,0.06215575984253999,0.001,5.0,1000
XGBClassifier,0.5715905776429261,0.05622097909210103,0.001,6.0,50
XGBClassifier,0.5736873763760503,0.05539271981659672,0.001,6.0,100
XGBClassifier,0.57983068621121,0.06136748184055114,0.001,6.0,200
XGBClassifier,0.6000266024839589,0.06059365131194326,0.001,6.0,500
XGBClassifier,0.5973774914578732,0.06115396944493775,0.001,6.0,1000
XGBClassifier,0.5664805076815524,0.05667444369495817,0.001,7.0,50
XGBClassifier,0.5674916981758493,0.05647873021993902,0.001,7.0,100
XGBClassifier,0.5748461146592195,0.05886143901672605,0.001,7.0,200
XGBClassifier,0.583529444397103,0.05900905311234458,0.001,7.0,500
XGBClassifier,0.5886134286386685,0.0674662618934991,0.001,7.0,1000
XGBClassifier,0.5605774784680846,0.05603017365796255,0.001,8.0,50
XGBClassifier,0.56445934863085,0.059188142852050867,0.001,8.0,100
XGBClassifier,0.5687428610043088,0.05844329283405548,0.001,8.0,200
XGBClassifier,0.5818245293461678,0.05895969209260309,0.001,8.0,500
XGBClassifier,0.5858280427385341,0.06474460177699115,0.001,8.0,1000
XGBClassifier,0.561969639196059,0.05812574374104133,0.001,9.0,50
XGBClassifier,0.5652792248503892,0.058230441446671825,0.001,9.0,100
XGBClassifier,0.568653468314627,0.05903062995875718,0.001,9.0,200
XGBClassifier,0.5816240613102334,0.059655878352774236,0.001,9.0,500
XGBClassifier,0.5882307107576829,0.0672598400060015,0.001,9.0,1000
XGBClassifier,0.5715905776429261,0.05622097909210103,0.001,,50
XGBClassifier,0.5736873763760503,0.05539271981659672,0.001,,100
XGBClassifier,0.57983068621121,0.06136748184055114,0.001,,200
XGBClassifier,0.6000266024839589,0.06059365131194326,0.001,,500
XGBClassifier,0.5973774914578732,0.06115396944493775,0.001,,1000
XGBClassifier,0.5810976705968663,0.05925032120402647,0.01,3.0,50
XGBClassifier,0.5889755318488116,0.06658652754048514,0.01,3.0,100
XGBClassifier,0.5997609284849167,0.07070056523736688,0.01,3.0,200
XGBClassifier,0.6096081602558427,0.06417750270218953,0.01,3.0,500
XGBClassifier,0.5967036760567589,0.06021042154030379,0.01,3.0,1000
XGBClassifier,0.5874659680543811,0.05614564297199303,0.01,4.0,50
XGBClassifier,0.5940069014077453,0.05978299030768034,0.01,4.0,100
XGBClassifier,0.5980282953280637,0.06367240257677657,0.01,4.0,200
XGBClassifier,0.5983453491492814,0.06224331191077833,0.01,4.0,500
XGBClassifier,0.5904647859247957,0.05814677259606868,0.01,4.0,1000
XGBClassifier,0.5915401545778003,0.06014904368740585,0.01,5.0,50
XGBClassifier,0.59833551367852,0.06330820676659739,0.01,5.0,100
XGBClassifier,0.6038348059065678,0.06385416983464241,0.01,5.0,200
XGBClassifier,0.5989936201643113,0.06589905557430417,0.01,5.0,500
XGBClassifier,0.5819097893028133,0.06318473757954703,0.01,5.0,1000
XGBClassifier,0.5965181968694157,0.060653369840423146,0.01,6.0,50
XGBClassifier,0.5968593035220074,0.06242609755716029,0.01,6.0,100
XGBClassifier,0.5970634184087903,0.0636475356693428,0.01,6.0,200
XGBClassifier,0.5919340753721949,0.06015795201598661,0.01,6.0,500
XGBClassifier,0.5846428699971224,0.06004667636364139,0.01,6.0,1000
XGBClassifier,0.5850546332798326,0.058194501713340355,0.01,7.0,50
XGBClassifier,0.588591347164272,0.06601597231362269,0.01,7.0,100
