,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
0,MAT-POS-02ae579f-1,142.9561999999998,8,3,1,62.55,216.47976948816049,6.463200000000006,-7.7,7.746907487123988,-93.0745,7.54452036052836,,0.0077025,0,0
1,MAT-POS-02ae579f-2,73.82210000000002,2,3,3,82.7,115.58124710043785,1.5105,-7.2,6.285344945110446,-80.1747,6.40734162698414,,2.287651,0,0
2,LOR-NOR-f9b26152-1,45.91220000000001,1,3,1,55.4,78.67238532528627,0.9691,-5.5,4.929599038739038,-59.7841,5.100658246586746,7.79448934601614,3.0164465,0,0
3,LON-WEI-2e27a2e5-2,146.2801999999998,8,4,1,75.19,222.12473618597667,5.660200000000005,-7.3,7.575922061327565,-97.6586,7.776974179154179,,-6.337255,0,0
4,MAT-POS-af71705c-1,86.06740000000003,2,4,2,76.02000000000002,125.97208210188137,2.577500000000001,-6.2,6.609277498612503,-54.8444,6.834464699966701,0.0,-0.72719225,0,0
5,MAT-POS-af71705c-2,121.04040000000003,4,5,2,78.73,174.56154783008373,4.0028000000000015,-8.3,7.213163920745925,-80.6905,7.446773991647242,-5.972937495999099,5.448779,0,0
6,JOH-UNI-591f77bd-1,90.89180000000003,4,5,2,66.84,144.83437982002675,2.5691999999999995,-5.9,6.262380806637805,-75.5715,5.398284107004106,,1.772847275,0,0
7,EDJ-MED-0e996074-1,76.21770000000005,3,5,1,69.04,121.68324077034487,2.1178,-6.7,6.9097355883560905,-73.9793,7.116272266178258,,2.1527435,0,0
8,MAT-POS-3d050446-1,98.87240000000004,6,4,2,77.81,148.64645048480557,3.6056800000000018,-6.5,7.214169401265397,-83.7008,6.5996780291375305,,14.209620000000001,0,0
9,WIL-UNI-2e73223c-4,91.95670000000004,6,3,1,51.22,141.39093584732413,3.516220000000001,-6.5,6.2822490508380495,-82.9774,6.9737519900654945,,,0,0
10,LOR-NOR-30067bb9-1,60.84920000000002,1,3,1,49.41,93.24213355271709,1.4216,-6.1,5.526923068875562,-68.8458,5.93264644560994,0.0,37.262335,0,0
