CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-4d77710c-2,111.0806,6,6,0,94.31,182.56347266653466,4.426500000000003
LON-WEI-4d77710c-4,114.56640000000004,4,3,2,63.13,166.07975018416263,5.372420000000004
LON-WEI-4d77710c-5,101.37640000000003,4,5,2,81.59,149.70940880874187,3.1997000000000018
LON-WEI-4d77710c-6,98.27690000000001,3,4,2,80.2,143.64384044977183,3.3851000000000013
LON-WEI-4d77710c-8,113.23460000000003,6,9,0,132.96,178.65619271438686,2.13352
LON-WEI-4d77710c-9,96.92740000000002,4,5,2,89.16000000000001,144.17753612931395,3.597920000000002
LON-WEI-4d77710c-10,108.10900000000002,6,7,1,107.48,177.305964148909,2.762600000000001
LON-WEI-4d77710c-11,108.61760000000002,5,9,0,132.96,172.29125059999026,1.7434200000000004
LON-WEI-4d77710c-12,104.22890000000001,4,5,2,89.42999999999998,155.12232779367528,3.359200000000002
LON-WEI-4d77710c-13,99.04140000000007,5,4,2,72.36000000000001,146.7225909060214,2.958000000000001
LON-WEI-4d77710c-18,101.37640000000003,4,5,2,81.59,149.70940880874187,3.1997000000000018
LON-WEI-4d77710c-19,73.13430000000002,3,2,1,57.61,115.81954625210513,2.4683
LON-WEI-4d77710c-20,122.07010000000004,6,3,3,78.92,174.4679696456674,4.503000000000003
LON-WEI-4d77710c-22,99.92440000000005,4,4,2,76.02000000000001,145.06690844507122,3.696500000000002
LON-WEI-4d77710c-23,93.27440000000003,2,3,2,63.13,145.61398244411018,4.2013000000000025
LON-WEI-4d77710c-24,125.5952,7,6,1,68.28999999999999,187.91422244464403,5.896500000000004
LON-WEI-4d77710c-26,83.24840000000002,3,3,2,70.65,120.77985595287757,2.26802
LON-WEI-4d77710c-27,106.69040000000007,4,3,2,63.13,154.33892990530774,4.501800000000004
LON-WEI-4d77710c-28,118.45040000000003,7,5,2,81.59,175.16917726632823,3.996400000000003
LON-WEI-4d77710c-29,118.13840000000003,7,7,2,102.31999999999998,177.4421075026197,3.8636000000000026
LON-WEI-4d77710c-30,115.30740000000004,4,5,2,76.02000000000001,165.38893624721788,4.9112000000000045
LON-WEI-4d77710c-32,80.13470000000005,3,3,1,39.06,121.13637960608133,2.3797800000000002
LON-WEI-4d77710c-33,116.57870000000003,3,5,1,72.80000000000001,174.37331759939434,3.706900000000002
LON-WEI-4d77710c-36,104.57140000000001,3,4,2,72.36,154.8991298061166,4.152920000000003
LON-WEI-4d77710c-39,97.83440000000003,5,4,2,76.27000000000001,145.00653184259812,3.274300000000001
LON-WEI-4d77710c-40,111.23540000000006,6,3,2,63.13,160.01426898752007,4.669500000000004
LON-WEI-4d77710c-41,111.43530000000001,5,7,1,122.74,172.95006211049207,2.1106999999999996
LON-WEI-4d77710c-42,117.32140000000004,4,3,2,63.13,170.3011977681819,4.856600000000004
LON-WEI-4d77710c-43,118.42840000000004,5,4,2,72.36,173.99395614930646,5.271920000000004
LON-WEI-4d77710c-44,97.61240000000005,5,4,2,76.27000000000001,145.00653184259818,3.5722000000000014
LON-WEI-4d77710c-48,123.31740000000003,8,5,2,81.59,181.53411938072486,4.0389000000000035
LON-WEI-4d77710c-51,109.74840000000002,6,5,2,89.16,163.27236247250372,3.626540000000002
LON-WEI-4d77710c-55,111.46940000000004,5,5,2,81.59,167.79840399840242,3.707900000000002
LON-WEI-4d77710c-58,121.85940000000002,5,6,2,85.25,176.86742359112134,4.919800000000004
LON-WEI-4d77710c-61,122.7264,8,10,0,109.11,195.39557498886379,5.622200000000003
LON-WEI-4d77710c-62,41.630700000000004,0,5,4,108.05,66.65833580394896,-0.04870000000000024
LON-WEI-4d77710c-63,79.87450000000003,3,6,0,70.15,126.85299432651566,2.930740000000001
LON-WEI-4d77710c-64,112.56050000000002,6,4,1,46.17,179.05997910139274,6.940500000000002
LON-WEI-4d77710c-65,91.32540000000002,4,8,0,94.95,145.84353578280903,4.550000000000003
LON-WEI-4d77710c-66,85.99100000000001,3,9,0,86.97,139.2436910502295,2.555040000000001
LON-WEI-4d77710c-67,77.63540000000002,4,8,0,94.95,130.68703355210434,3.9059
LON-WEI-4d77710c-69,103.41880000000005,5,6,2,97.16,169.66942543567987,5.865300000000002
LON-WEI-4d77710c-70,62.96450000000002,2,5,0,58.68,102.10907525289963,2.38218
LON-WEI-4d77710c-71,78.15440000000002,4,8,0,94.7,126.84063247368759,3.054500000000001
LON-WEI-4d77710c-73,101.211,4,8,0,93.17,159.6569931769322,3.3043200000000015
LON-WEI-4d77710c-74,106.34820000000002,6,6,1,92.78,165.59464259606318,3.4605000000000015
LON-WEI-4d77710c-75,95.12870000000004,4,4,1,66.48,143.58969103771938,3.592220000000002
LON-WEI-4d77710c-76,97.95200000000001,4,9,0,82.0,155.31379573429697,4.054000000000002
MAT-POS-02ae579f-1,142.9561999999998,8,3,1,62.550000000000004,216.47976948816046,6.463200000000006
MAT-POS-02ae579f-2,73.82210000000002,2,3,3,82.7,115.58124710043785,1.5105
LOR-NOR-f9b26152-1,45.912200000000006,1,3,1,55.4,78.67238532528626,0.9690999999999999
MAT-POS-2492181e-5,94.23340000000006,4,4,2,63.13,137.1226816201396,2.9642000000000017
MAT-POS-b5746674-34,115.10340000000004,9,5,2,79.51,169.8611918559913,3.5553000000000026
MAT-POS-b5746674-37,106.29970000000006,5,5,1,76.71000000000001,162.05410163396434,3.3446000000000025
MAT-POS-b5746674-38,113.03070000000002,8,5,1,76.71000000000001,169.42487490189012,3.9807000000000023
MAT-POS-b5746674-42,107.04770000000002,4,3,1,54.34,152.4221740651166,4.159300000000003
MAT-POS-b5746674-78,99.11890000000004,6,4,2,71.19,149.36650742635447,3.4985000000000017
MAT-POS-b5746674-97,102.96040000000004,3,5,2,92.66999999999999,156.64394667626848,2.2809
MAT-POS-b5746674-98,116.25040000000004,5,4,2,66.37,169.69608932398867,3.1084000000000014
MAT-POS-b5746674-100,110.49840000000005,7,4,2,83.44,164.26028567555483,2.791500000000002
MAT-POS-b5746674-101,117.43770000000005,4,3,1,54.34,170.51116925477723,4.678900000000004
MAT-POS-b5746674-107,126.50770000000006,5,3,1,54.34,183.24105348357045,5.144100000000004
MAT-POS-b5746674-108,134.63039999999995,7,4,2,66.37,195.15585778157504,4.609520000000004
MAT-POS-ea426761-10,98.3429,6,5,2,79.89999999999999,153.50863359153246,4.011300000000002
MAT-POS-ea426761-13,70.00370000000004,2,4,1,55.13,102.90601094590356,2.9316000000000013
MAT-POS-ea426761-45,98.71670000000003,4,5,1,52.230000000000004,148.0885910161145,3.091000000000001
MAT-POS-af71705c-2,121.04040000000005,4,5,2,78.73,174.56154783008375,4.002800000000002
JOH-UNI-591f77bd-1,90.89180000000005,4,5,2,66.84,144.83437982002675,2.5691999999999995
EDJ-MED-0e996074-1,76.21770000000004,3,5,1,69.04,121.68324077034488,2.1178
MAT-POS-3d050446-1,98.87240000000004,6,4,2,77.81,148.64645048480557,3.605680000000002
LOR-NOR-30067bb9-1,60.849200000000025,1,3,1,49.410000000000004,93.2421335527171,1.4216
LOR-NOR-30067bb9-2,79.70070000000003,3,4,1,72.47,126.45535045726105,2.48682
