CID,qvina,rfscore_qvina,plants,rfscore_plants
MAR-UNI-c84db004-13,-9.0,6.586497894494393,-85.92299999999999,7.4478760127650165
BAR-COM-4e090d3a-53,-7.5,7.2216919575979555,-83.8857,7.340981388611389
TRY-UNI-714a760b-6,-6.4,6.3772530531690546,-68.7197,6.414522927572426
EDJ-MED-c9f55a56-1,-6.2,5.4910301221001285,-69.4555,6.042434140637143
LON-WEI-0a73fcb8-7,-7.4,6.67794158269508,-73.4504,6.826286764790767
MAT-POS-590ac91e-3,-5.6,5.398376446608944,-62.3559,5.965572591131092
LON-WEI-0a73fcb8-5,-7.1,6.561453818903319,-77.0376,6.811579918747918
MAT-POS-916a2c5a-1,-6.6,6.9720687073482095,-74.8072,6.318335877566869
LON-WEI-d1c9908a-5,-6.9,7.452002161810412,-80.5485,7.501834477094801
LON-WEI-babf2c61-7,-8.0,7.395199192307695,-91.8761,7.6922905290820305
BEN-DND-031a96cc-8,-6.4,6.470065268509267,-65.8064,6.230657796259298
LON-WEI-adc59df6-17,-6.1,7.2238349368964325,-83.0442,6.763206296536801
LON-WEI-adc59df6-53,-6.5,7.4585632529415005,-77.6543,7.478014166305909
ALP-POS-95b75b4d-6,-6.4,5.480515480741477,-77.8305,6.315299189366188
NAU-LAT-8502cac5-8,-6.5,6.38908646181596,-66.4951,6.902798152958153
LON-WEI-babf2c61-12,-7.5,7.661461946969693,-98.1671,7.6821570513930535
TRY-UNI-714a760b-3,-6.2,5.860529551226553,-76.1786,6.655581165390171
MAR-UNI-c84db004-4,-7.9,7.204179028027528,-78.6478,6.819215330280835
MAT-POS-590ac91e-7,-5.5,5.413945497113995,-67.4225,5.455476261183257
GIA-UNK-595fac82-3,-6.2,5.858391053002553,-64.0727,5.927949026862029
DAR-DIA-23aa0b97-13,-5.7,5.9352386128871135,-56.5917,5.676097200965701
VLA-UCB-00f2c2b3-2,-6.5,6.8591915993451025,-78.4324,7.15566978660229
LOR-NEU-c8f11034-6,-6.1,5.799147124819621,-55.7081,6.225699717893216
LON-WEI-adc59df6-16,-7.2,7.355531427045176,-77.4071,7.089891140942393
MAT-POS-590ac91e-59,-8.5,6.923013712290976,-81.2158,7.204266012059836
ANT-DIA-b7f58f21-3,-5.3,4.814521998445999,-64.8278,5.1933531823731816
LON-WEI-0a73fcb8-4,-7.1,6.929840469030969,-72.4609,7.01606054290154
MAR-UNI-c84db004-11,-6.1,6.405040869685871,-70.0751,6.678100575036068
WAR-XCH-b72a1bbc-15,-6.9,6.025972102897107,-71.6436,6.1395662503607555
JOH-UNI-a5c0a47e-2,-6.6,6.435118194139199,-76.3698,6.294279147907653
BEN-DND-93268d01-4,-6.3,6.271299650238656,-68.1502,6.824316301476308
JAR-IMP-ed466bb3-13,-8.0,6.512119317460318,-69.6792,6.809473369408376
JAG-UCB-a3ef7265-10,-6.3,5.990572787379287,-66.583,6.323972239593737
NAU-LAT-8502cac5-9,-6.6,6.761720954489957,-73.9436,7.415738217171718
CHR-SOS-363cfb78-1,-5.7,5.592893958208465,-52.0042,5.824648498223999
BEN-BAS-f6e16b09-1,-7.5,6.507766250138756,-88.868,6.678465714674215
WAR-XCH-b72a1bbc-4,-5.8,5.9619594116994135,-64.0026,6.169407779220777
GER-UNI-caecb3b0-1,-8.3,7.343749140692638,-79.1886,6.9095612890442855
WAR-XCH-eb7b662f-5,-5.4,5.916867325008326,-56.618,5.609541283549782
PAT-UNK-b2d83456-1,-6.7,6.822959316849817,-73.8708,6.8917380765900855
LON-WEI-b8d98729-45,-6.5,7.062419029664782,-87.4265,7.734824513542013
DAR-DIA-23aa0b97-11,-6.9,6.628145952103457,-62.6595,7.1137709776334805
LON-WEI-8f408cad-4,-7.1,6.636679992784988,-75.9473,6.462215978354979
LON-WEI-b8d98729-3,-6.8,5.535197053502051,-71.107,5.894408578310574
LON-WEI-b8d98729-5,-7.3,7.385061754634258,-108.245,7.439473795093802
MAK-UNK-10572812-16,-9.6,7.6101806307581175,-98.2832,7.608068479242981
LON-WEI-1908424e-3,-8.5,7.341434334165841,-90.5268,7.534083721611728
IAN-BAS-5394d4c4-1,-8.2,7.434489910117666,-94.2162,7.094034530969036
LON-WEI-adc59df6-41,-6.7,7.1019436105283615,-90.9144,7.463655010989009
NEH-REV-107bcf72-5,-6.4,6.112539360528362,-75.032,6.117499279942279
STU-CHA-7b3b91d5-1,-7.5,7.269062418081917,-85.5739,7.425992689754688
LOR-NOR-30067bb9-13,-5.8,5.1808714696969735,-65.4961,5.137489506993009
MAT-POS-590ac91e-68,-9.0,7.327301793040289,-70.2774,6.988183801646072
LON-WEI-babf2c61-3,-7.5,7.540666749639254,-92.265,7.707090911976918
DAR-DIA-842b4336-18,-6.4,5.936615176212674,-73.2059,6.2141968689088705
WAR-XCH-b72a1bbc-16,-6.6,6.299108852314348,-69.9236,6.202633834054833
DAR-DIA-842b4336-7,-6.0,5.662360566322574,-62.9061,5.673959808080814
MAR-UNI-c84db004-16,-8.2,5.895165988566992,-73.0603,5.945581305194807
WAR-XCH-b6889685-29,-7.4,6.842870221611719,-84.2665,6.807440161449666
GAB-REV-70cc3ca5-8,-7.2,7.271641347818849,-75.7178,7.0719590714285765
NIM-UNI-ed9fc491-4,-8.3,7.829454440992016,-100.863,7.827922350804419
BAR-COM-4e090d3a-56,-7.4,7.315222291763798,-74.8347,7.167162048451548
MAT-POS-590ac91e-38,-7.5,6.9187053982128965,-78.7388,6.239926422799425
EDG-MED-0da5ad92-13,-6.4,6.256326911366415,-75.1445,6.300867185425685
JOH-UNI-a5c0a47e-1,-6.3,6.1642253338328326,-78.9967,6.312015924630928
MED-COV-4280ac29-10,-7.4,5.8071720328005325,-79.23100000000002,6.642676273171281
MAT-POS-bfefc3ea-3,-6.5,7.606839749100567,-93.8646,7.500861591269838
BAR-COM-0f94fc3d-38,-6.1,6.7523699378399415,-73.0402,6.439051644799644
LON-WEI-8f408cad-7,-5.5,6.312720633755126,-68.3201,5.946335813575308
GIA-UNK-d2defdc3-1,-7.3,6.7686363938838925,-81.0106,6.890800508602508
LON-WEI-b8d98729-46,-7.0,7.661165030497277,-88.1872,7.319668559884561
DAR-DIA-23aa0b97-5,-5.7,6.265916460761469,-54.1548,5.764970317460321
ERI-BAS-962ecb40-1,-9.1,7.499322994949497,-89.7749,7.40262368797868
LOR-NOR-30067bb9-10,-7.3,6.738678894882899,-77.9779,6.867338910589408
MAK-UNK-129dcd6f-12,-6.6,7.011321494616486,-51.4589,6.952266672771668
NAU-LAT-64f4b287-5,-6.8,6.940250418137418,-71.101,6.794140107392606
BRU-LEF-cf996d6c-1,-6.2,5.627413337995336,-77.5042,6.199481284992785
LON-WEI-b8d98729-7,-6.7,7.108995712731713,-66.1411,7.214396001443004
EDG-MED-0da5ad92-16,-6.7,6.33547568709069,-69.8326,6.63499520801421
MAT-POS-590ac91e-47,-8.0,7.248882836219339,-88.6229,7.325736316017318
JAG-UCB-cedd89ab-3,-6.6,5.803139651903657,-70.9335,5.818589201687202
TRY-UNI-714a760b-16,-6.1,6.360644730824734,-68.5129,6.369283479076478
MAT-POS-590ac91e-13,-5.7,5.440915435064942,-62.0835,5.163181847596847
MAT-POS-590ac91e-40,-7.5,7.2808903950216415,-81.2937,6.695438106782111
MAT-POS-590ac91e-55,-9.0,7.3107875603285635,-83.304,6.981150247474741
WAR-XCH-b72a1bbc-11,-6.8,6.4539408149628255,-69.1691,6.4834542899322845
LON-WEI-b8d98729-23,-6.6,7.248261414890657,-85.6052,7.364281948900766
MAR-UNI-c84db004-15,-8.1,7.263302052170057,-87.69200000000002,7.813675971805968
LON-WEI-d1c9908a-13,-7.4,7.285810810606061,-84.8942,6.893440235930736
MAT-POS-590ac91e-32,-7.3,6.962450032106784,-79.1005,6.069525603896104
MAT-POS-590ac91e-20,-5.5,6.1502974427794435,-54.7652,6.195822852813856
AAR-POS-8a4e0f60-10,-8.0,7.116498476745467,-80.7317,7.01232337395937
GIA-UNK-3f36037a-1,-6.2,6.047892115162612,-69.4881,6.234645370462863
AAR-POS-8a4e0f60-7,-7.5,7.105625379065383,-75.6402,7.1006105920745926
LON-WEI-babf2c61-9,-7.6,7.369327495337997,-92.5444,7.4949771293706275
MAT-POS-590ac91e-28,-5.6,5.609611338328339,-57.4807,6.240677104839605
LON-WEI-adc59df6-1,-6.5,7.432017076617822,-83.9472,7.567574622821617
TRY-UNI-714a760b-24,-5.6,5.84349677811078,-45.8667,6.43009789069264
HAN-NEW-5f56c3bc-1,-5.2,5.639195084415591,-45.8405,5.5945475018037545
BAR-COM-0f94fc3d-45,-6.1,6.7403090531135526,-66.7686,6.727335005550006
WAR-XCH-b6889685-30,-7.2,6.310967468975475,-78.8791,6.803706657398155
BEN-BAS-bb561ced-1,-9.1,7.769649692279942,-97.8535,7.749734435786428
BAR-COM-4e090d3a-12,-6.9,7.223309789266282,-88.3538,7.290458044372295
JAN-GHE-83b26c96-2,-6.4,5.897191135642135,-76.5981,6.844414649184152
