clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
RandomForestClassifier,0.6602165409753644,0.08881487781327572,3.0,40.0,,
RandomForestClassifier,0.6629124811463046,0.08867355581532374,3.0,100.0,,
RandomForestClassifier,0.6657674208144796,0.09101956503483777,3.0,200.0,,
RandomForestClassifier,0.6665730643539467,0.09113859691005326,3.0,500.0,,
RandomForestClassifier,0.6670938788335847,0.0908155613360931,3.0,1000.0,,
RandomForestClassifier,0.6743634992458525,0.09128626771629401,4.0,40.0,,
RandomForestClassifier,0.6778640271493214,0.09279388527470785,4.0,100.0,,
RandomForestClassifier,0.6803125188536954,0.09335372390775681,4.0,200.0,,
RandomForestClassifier,0.6815052161890398,0.09441001601055495,4.0,500.0,,
RandomForestClassifier,0.6820313474107593,0.09431843641876758,4.0,1000.0,,
RandomForestClassifier,0.6923618526897937,0.09627095956749696,5.0,40.0,,
RandomForestClassifier,0.6936484539969833,0.09673600031485378,5.0,100.0,,
RandomForestClassifier,0.6961923956762193,0.09711578883657628,5.0,200.0,,
RandomForestClassifier,0.6972196204122675,0.09789141854855399,5.0,500.0,,
RandomForestClassifier,0.6971451106083458,0.0979152762924323,5.0,1000.0,,
RandomForestClassifier,0.7043193438914027,0.09510064026683086,6.0,40.0,,
RandomForestClassifier,0.7065625816993465,0.09673533013176619,6.0,100.0,,
RandomForestClassifier,0.7071217823026646,0.09613021638347279,6.0,200.0,,
RandomForestClassifier,0.707143790849673,0.09518961261672146,6.0,500.0,,
RandomForestClassifier,0.7071921442936148,0.09586007723404796,6.0,1000.0,,
RandomForestClassifier,0.7079789592760182,0.09383521951240507,7.0,40.0,,
RandomForestClassifier,0.7104782302664653,0.09289113038090879,7.0,100.0,,
RandomForestClassifier,0.7129939039718453,0.09523281409834562,7.0,200.0,,
RandomForestClassifier,0.7122541226747107,0.09445567087205205,7.0,500.0,,
RandomForestClassifier,0.7124161764705883,0.0946611287786784,7.0,1000.0,,
RandomForestClassifier,0.7097018225238811,0.09017245095439491,8.0,40.0,,
RandomForestClassifier,0.710751696832579,0.09360064885535624,8.0,100.0,,
RandomForestClassifier,0.7140069884364002,0.09476373894038122,8.0,200.0,,
RandomForestClassifier,0.7153009175465057,0.09369700813497749,8.0,500.0,,
RandomForestClassifier,0.7159796254399192,0.09298061219027422,8.0,1000.0,,
RandomForestClassifier,0.7118095651080943,0.09203163004006995,10.0,40.0,,
RandomForestClassifier,0.7126787204625441,0.09043115685998042,10.0,100.0,,
RandomForestClassifier,0.71472616892911,0.09078093309780523,10.0,200.0,,
RandomForestClassifier,0.7167473479135243,0.09042376364485984,10.0,500.0,,
RandomForestClassifier,0.7176644670688788,0.09044524780248875,10.0,1000.0,,
RandomForestClassifier,0.7008896807440926,0.08436744894034731,,40.0,,
RandomForestClassifier,0.7020792232277527,0.08647616218716195,,100.0,,
RandomForestClassifier,0.7029248491704375,0.08695473103540287,,200.0,,
RandomForestClassifier,0.7054342131724485,0.0868649182515023,,500.0,,
RandomForestClassifier,0.7056182126696834,0.08704031349134655,,1000.0,,
KNeighborsClassifier,0.7076901206636502,0.07577712140844144,,,3.0,
KNeighborsClassifier,0.7177524635495223,0.077839415485891,,,5.0,
KNeighborsClassifier,0.712837443438914,0.07878508225437872,,,7.0,
